antecedent,consequent,confidence,lift,count,antecedent_count,support,size
Post_Time=market_hours & Mkt_reversion=mild_rally & Mkt_momentum=strong_up,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,3
Post_Time=market_hours & Mkt_reversion=mild_rally & Mkt_volatility=high,NEXT_FullDay=day_up,1.0,8.7778,8,8,0.1013,3
Post_Time=market_hours & Post_DOW=Wed & Sent_Trend=stable,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Post_DOW=Wed & Mkt_trend=uptrend,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Post_DOW=Wed & Mkt_trend_strength=strong_uptrend,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Post_DOW=Wed & Mkt_volume_regime=normal_vol,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Sent_Trend=stable & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Mkt_trend=uptrend & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Mkt_trend_strength=strong_uptrend & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=market_hours & Mkt_reversion=mild_rally & Mkt_volume_regime=normal_vol,NEXT_FullDay=day_up,1.0,8.7778,7,7,0.0886,3
Post_Time=pre_market & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.9167,6.0347,11,12,0.1392,2
Post_Time=pre_market & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.9167,6.0347,11,12,0.1392,3
Post_Time=pre_market & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.9167,6.0347,11,12,0.1392,3
Post_Time=pre_market & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,12,12,0.1519,2
Mkt_trend=trend_breaking & Mkt_trend_strength=weak_downtrend,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,2
Mkt_trend_strength=weak_downtrend & Mkt_reversion=bounce_setup,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,2
Post_Time=pre_market & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,12,12,0.1519,3
Post_Time=pre_market & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,12,12,0.1519,3
Sent_Trend=stable & Mkt_trend=trend_breaking & Mkt_trend_strength=weak_downtrend,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Sent_Trend=stable & Mkt_trend_strength=weak_downtrend & Mkt_reversion=bounce_setup,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Mkt_trend=trend_breaking & Mkt_trend_strength=weak_downtrend & Mkt_reversion=bounce_setup,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Mkt_trend=trend_breaking & Mkt_trend_strength=weak_downtrend & Mkt_volatility=high,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Mkt_trend=trend_breaking & Mkt_trend_strength=weak_downtrend & Mkt_volume_regime=normal_vol,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Mkt_trend_strength=weak_downtrend & Mkt_reversion=bounce_setup & Mkt_volatility=high,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Mkt_trend_strength=weak_downtrend & Mkt_reversion=bounce_setup & Mkt_volume_regime=normal_vol,NEXT_Gap=gap_up,1.0,4.9375,12,12,0.1519,3
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8571,5.6429,12,14,0.1519,3
Post_Time=pre_market & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8571,5.6429,12,14,0.1519,3
Post_Time=pre_market & Post_DOW=Thu,NEXT_Gap=flat_open,1.0,11.2857,5,5,0.0633,2
Post_Time=pre_market & Post_DOW=Thu & Mkt_volatility=high,NEXT_Gap=flat_open,1.0,11.2857,5,5,0.0633,3
Post_Time=pre_market & Post_DOW=Thu & Mkt_volume_regime=normal_vol,NEXT_Gap=flat_open,1.0,11.2857,5,5,0.0633,3
Sent_Trend=stable & Mkt_trend_strength=weak_downtrend,NEXT_Gap=gap_up,0.9286,4.5848,13,14,0.1646,2
Sent_Trend=stable & Mkt_trend_strength=weak_downtrend & Mkt_volatility=high,NEXT_Gap=gap_up,0.9286,4.5848,13,14,0.1646,3
Sent_Trend=stable & Mkt_trend_strength=weak_downtrend & Mkt_volume_regime=normal_vol,NEXT_Gap=gap_up,0.9286,4.5848,13,14,0.1646,3
Post_Time=pre_market & Post_DOW=Tue,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,2
Post_Time=pre_market & Post_DOW=Tue & Buzz=high_buzz,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Sent_Trend=unknown,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_trend=uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_trend_strength=weak_uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_reversion=mild_dip,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_momentum=strong_down,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_volatility=high,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Post_DOW=Tue & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_trend=uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Post_Time=pre_market & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_Gap=big_gap_down,1.0,4.9375,11,11,0.1392,3
Sent_Trend=stable & Mkt_reversion=fade_setup & Mkt_volume_regime=normal_vol,NEXT_FullDay=day_big_up,1.0,3.5909,15,15,0.1899,3
Polarity=neutral & Post_Time=market_hours & Post_DOW=Wed,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Post_Time=market_hours & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Post_DOW=Wed & Mkt_trend=uptrend,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Post_DOW=Wed & Mkt_trend_strength=strong_uptrend,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Sent_Trend=stable & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Mkt_trend=uptrend & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Mkt_trend_strength=strong_uptrend & Mkt_reversion=mild_rally,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Polarity=neutral & Mkt_reversion=mild_rally & Mkt_volume_regime=normal_vol,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Post_Time=market_hours & Post_DOW=Wed & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Post_Time=market_hours & Mkt_reversion=mild_rally & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Post_DOW=Wed & Mkt_trend=uptrend & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Post_DOW=Wed & Mkt_trend_strength=strong_uptrend & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Sent_Trend=stable & Mkt_reversion=mild_rally & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Mkt_trend=uptrend & Mkt_reversion=mild_rally & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Mkt_trend_strength=strong_uptrend & Mkt_reversion=mild_rally & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Mkt_reversion=mild_rally & Mkt_volume_regime=normal_vol & Sentiment=neutral,NEXT_FullDay=day_up,1.0,8.7778,6,6,0.0759,3
Post_Time=pre_market & Buzz=high_buzz,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Post_DOW=Tue & Buzz=high_buzz,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Post_DOW=Tue & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,2
Post_Time=pre_market & Buzz=high_buzz & Sent_Trend=unknown,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_Time=pre_market & Buzz=high_buzz & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_Time=pre_market & Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_Time=pre_market & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Sent_Trend=unknown,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_trend=uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Buzz=high_buzz & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Sent_Trend=unknown & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Post_DOW=Tue & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_trend=uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Sent_Trend=unknown & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Buzz=high_buzz & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend=uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=unknown & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_trend_strength=weak_uptrend & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend=uptrend & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip & Mkt_momentum=strong_down,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend_strength=weak_uptrend & Mkt_reversion=mild_dip & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down & Mkt_volatility=high,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend_strength=weak_uptrend & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_trend_strength=weak_uptrend & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_reversion=mild_dip & Mkt_momentum=strong_down & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_reversion=mild_dip & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Mkt_momentum=strong_down & Mkt_volatility=high & Mkt_volume_regime=high_vol,NEXT_2Day=2day_flat,0.8462,5.5705,11,13,0.1392,3
Sent_Trend=stable & Mkt_trend=trend_breaking,NEXT_Gap=gap_up,0.9231,4.5577,12,13,0.1519,2
Sent_Trend=stable & Mkt_trend=trend_breaking & Mkt_reversion=bounce_setup,NEXT_Gap=gap_up,0.9231,4.5577,12,13,0.1519,3
Sent_Trend=stable & Mkt_trend=trend_breaking & Mkt_volatility=high,NEXT_Gap=gap_up,0.9231,4.5577,12,13,0.1519,3
Sent_Trend=stable & Mkt_trend=trend_breaking & Mkt_volume_regime=normal_vol,NEXT_Gap=gap_up,0.9231,4.5577,12,13,0.1519,3
Mkt_trend_strength=weak_downtrend & Mkt_momentum=strong_up,NEXT_Gap=gap_up,1.0,4.9375,10,10,0.1266,2
