antecedent,consequent,support,confidence,lift,count,antecedent_count,antecedent_size
Streak=2_up,NEXT_UpDown=NEXT_DOWN,0.1,0.6667,1.4815,6,9,1
Streak=long_up,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,1
Streak=long_up,NEXT_Dir=next_big_up,0.0667,0.6667,2.1053,4,6,1
Streak=long_up,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,1
Streak=long_up,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,1
Prev_Change=crash,NEXT_UpDown=NEXT_UP,0.0833,0.8333,1.5625,5,6,1
Prev_Change=crash,NEXT_Dir=next_big_up,0.0667,0.6667,2.1053,4,6,1
Prev_Change=crash,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,1
Prev_Change=crash,NEXT_TotalDir=total_UP,0.0833,0.8333,1.4706,5,6,1
Prev_Change=crash,NEXT_MoveType=intraday_move,0.0667,0.6667,1.8182,4,6,1
Prev_Change=big_drop,NEXT_GapDir=gap_DOWN,0.1333,0.7273,1.4076,8,11,1
Prev_Change=drop,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,1
Prev_Change=drop,NEXT_GapDir=gap_UP,0.0667,0.6667,1.4286,4,6,1
Prev_Change=drop,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,1
Prev_Change=flat,NEXT_GapDir=gap_UP,0.0833,0.7143,1.5306,5,7,1
Prev_Change=flat,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,1
Prev_Change=flat,NEXT_MoveType=gap_move,0.0833,0.7143,3.5714,5,7,1
Prev_Change=gain,NEXT_GapDir=gap_DOWN,0.1167,0.7778,1.5054,7,9,1
Prev_Change=gain,NEXT_TotalDir=total_DOWN,0.1,0.6667,1.6,6,9,1
Prev_Change=big_gain,NEXT_GapDir=gap_UP,0.0833,0.7143,1.5306,5,7,1
Prev_Change=surge,NEXT_TotalDir=total_UP,0.15,0.6429,1.1345,9,14,1
Fast_Trend=strong_down,NEXT_UpDown=NEXT_UP,0.1333,0.6154,1.1538,8,13,1
Fast_Trend=strong_down,NEXT_GapDir=gap_DOWN,0.15,0.6923,1.34,9,13,1
Fast_Trend=flat,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,1
Fast_Trend=flat,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,1
Fast_Trend=flat,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,1
Fast_Trend=flat,NEXT_MoveType=mixed,0.0667,1.0,2.4,4,4,1
Fast_Trend=up,NEXT_GapDir=gap_DOWN,0.1333,0.6667,1.2903,8,12,1
Fast_Trend=strong_up,NEXT_GapDir=gap_UP,0.25,0.6818,1.461,15,22,1
Fast_Trend=strong_up,NEXT_TotalDir=total_UP,0.2333,0.6364,1.123,14,22,1
Reversion=bounce_setup,NEXT_TotalDir=total_DOWN,0.1,0.6,1.44,6,10,1
Reversion=fade_setup,NEXT_GapDir=gap_UP,0.2167,0.6842,1.4662,13,19,1
Reversion=fade_setup,NEXT_TotalDir=total_UP,0.2,0.6316,1.1146,12,19,1
Reversion=mild_rally,NEXT_UpDown=NEXT_UP,0.1,0.8571,1.6071,6,7,1
Reversion=mild_rally,NEXT_GapDir=gap_DOWN,0.0833,0.7143,1.3825,5,7,1
Reversion=mild_rally,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,1
Reversion=neutral,NEXT_UpDown=NEXT_UP,0.1333,0.6154,1.1538,8,13,1
Reversion=neutral,NEXT_GapDir=gap_DOWN,0.1667,0.7692,1.4888,10,13,1
DOW=Mon & Day_Dir=mod_down,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,2
DOW=Mon & Day_Dir=big_up,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,2
DOW=Mon & Day_Dir=big_up,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,2
DOW=Thu & Day_Dir=big_up,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,2
DOW=Thu & Day_Dir=big_up,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Thu & Day_Dir=big_up,NEXT_TotalDir=total_DOWN,0.05,0.75,1.8,3,4,2
DOW=Thu & Day_Dir=big_up,NEXT_MoveType=intraday_move,0.0667,1.0,2.7273,4,4,2
DOW=Tue & Day_Dir=slight_down,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,2
DOW=Tue & Day_Dir=slight_down,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,2
DOW=Tue & Day_Dir=big_up,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Wed & Day_Dir=mod_up,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,2
DOW=Wed & Day_Dir=big_up,NEXT_UpDown=NEXT_UP,0.0667,0.8,1.5,4,5,2
DOW=Wed & Day_Dir=big_up,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Wed & Day_Dir=big_up,NEXT_TotalDir=total_UP,0.0833,1.0,1.7647,5,5,2
DOW=Wed & Day_Dir=big_up,NEXT_TotalSize=total_rip,0.05,0.6,3.0,3,5,2
DOW=Fri & Gap=gap_up,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Fri & Gap=gap_up,NEXT_Dir=next_big_up,0.05,0.75,2.3684,3,4,2
DOW=Fri & Gap=gap_up,NEXT_GapDir=gap_DOWN,0.0667,1.0,1.9355,4,4,2
DOW=Fri & Gap=gap_up,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Fri & Gap=gap_up,NEXT_GapAction=gap_down_recover,0.05,0.75,3.0,3,4,2
DOW=Mon & Gap=gap_down_big,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,2
DOW=Mon & Gap=gap_down,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,2
DOW=Thu & Gap=gap_down_big,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Thu & Gap=gap_down_big,NEXT_Dir=next_big_down,0.05,0.6,3.6,3,5,2
DOW=Thu & Gap=gap_down_big,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Thu & Gap=gap_down_big,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,2
DOW=Thu & Gap=gap_down_big,NEXT_MoveType=intraday_move,0.0667,0.8,2.1818,4,5,2
DOW=Tue & Gap=gap_up,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,2
DOW=Tue & Gap=gap_up,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,2
DOW=Tue & Gap=gap_up_big,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,2
DOW=Wed & Gap=gap_down_big,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,2
DOW=Wed & Gap=gap_down_big,NEXT_Dir=next_big_up,0.05,1.0,3.1579,3,3,2
DOW=Wed & Gap=gap_down_big,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,2
DOW=Wed & Gap=gap_down_big,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,2
DOW=Wed & Gap=gap_down_big,NEXT_GapAction=gap_down_recover,0.05,1.0,4.0,3,3,2
DOW=Wed & Gap=gap_up,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,2
DOW=Fri & Range=normal,NEXT_GapDir=gap_DOWN,0.0667,1.0,1.9355,4,4,2
DOW=Mon & Range=wide,NEXT_UpDown=NEXT_DOWN,0.0667,0.6667,1.4815,4,6,2
DOW=Mon & Range=wide,NEXT_GapDir=gap_DOWN,0.0833,0.8333,1.6129,5,6,2
DOW=Mon & Range=wide,NEXT_GapSize=gap_big_down,0.0667,0.6667,2.6667,4,6,2
DOW=Mon & Range=wide,NEXT_TotalDir=total_DOWN,0.0667,0.6667,1.6,4,6,2
DOW=Mon & Range=very_wide,NEXT_UpDown=NEXT_DOWN,0.0667,0.8,1.7778,4,5,2
DOW=Mon & Range=very_wide,NEXT_Dir=next_big_down,0.05,0.6,3.6,3,5,2
DOW=Mon & Range=very_wide,NEXT_GapDir=gap_UP,0.0667,0.8,1.7143,4,5,2
DOW=Thu & Range=wide,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,2
DOW=Thu & Range=wide,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,2
DOW=Thu & Range=very_wide,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Thu & Range=very_wide,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Thu & Range=very_wide,NEXT_TotalDir=total_DOWN,0.0667,0.8,1.92,4,5,2
DOW=Thu & Range=very_wide,NEXT_MoveType=intraday_move,0.0667,0.8,2.1818,4,5,2
DOW=Tue & Range=normal,NEXT_TotalDir=total_UP,0.05,1.0,1.7647,3,3,2
DOW=Tue & Range=wide,NEXT_UpDown=NEXT_UP,0.0667,0.8,1.5,4,5,2
DOW=Tue & Range=wide,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Tue & Range=wide,NEXT_MoveType=mixed,0.05,0.6,1.44,3,5,2
DOW=Wed & Range=wide,NEXT_UpDown=NEXT_UP,0.0833,0.625,1.1719,5,8,2
DOW=Wed & Range=wide,NEXT_TotalDir=total_UP,0.0833,0.625,1.1029,5,8,2
DOW=Wed & Range=very_wide,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,2
DOW=Fri & Volume=normal,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Mon & Volume=high,NEXT_UpDown=NEXT_DOWN,0.0667,0.8,1.7778,4,5,2
DOW=Mon & Volume=high,NEXT_GapDir=gap_UP,0.0667,0.8,1.7143,4,5,2
DOW=Thu & Volume=normal,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,2
DOW=Thu & Volume=normal,NEXT_GapDir=gap_UP,0.0833,0.8333,1.7857,5,6,2
DOW=Thu & Volume=normal,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,2
DOW=Thu & Volume=normal,NEXT_TotalSize=total_big_up,0.0667,0.6667,4.0,4,6,2
DOW=Thu & Volume=high,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Thu & Volume=high,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,2
DOW=Tue & Volume=normal,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,2
DOW=Tue & Volume=normal,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Tue & Volume=normal,NEXT_TotalDir=total_UP,0.0833,1.0,1.7647,5,5,2
DOW=Tue & Volume=very_high,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,2
DOW=Wed & Volume=low,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,2
DOW=Wed & Volume=low,NEXT_GapDir=gap_DOWN,0.05,0.6,1.1613,3,5,2
DOW=Wed & Volume=low,NEXT_MoveType=intraday_move,0.05,0.6,1.6364,3,5,2
DOW=Wed & Volume=high,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Wed & Volume=high,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,2
DOW=Wed & Volume=high,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Fri & RSI=neutral_high,NEXT_UpDown=NEXT_DOWN,0.05,0.75,1.6667,3,4,2
DOW=Fri & RSI=neutral_high,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Fri & RSI=neutral_high,NEXT_MoveType=mixed,0.0667,1.0,2.4,4,4,2
DOW=Mon & RSI=neutral_high,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Mon & RSI=neutral_high,NEXT_GapDir=gap_DOWN,0.0667,0.8,1.5484,4,5,2
DOW=Mon & RSI=neutral_high,NEXT_GapSize=gap_big_down,0.05,0.6,2.4,3,5,2
DOW=Mon & RSI=neutral_high,NEXT_TotalSize=total_up,0.05,0.6,3.2727,3,5,2
DOW=Thu & RSI=neutral_high,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Thu & RSI=neutral_high,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Thu & RSI=neutral_high,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,2
DOW=Thu & RSI=neutral_high,NEXT_MoveType=intraday_move,0.05,0.6,1.6364,3,5,2
DOW=Thu & RSI=strong,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Tue & RSI=neutral_low,NEXT_TotalDir=total_UP,0.0667,1.0,1.7647,4,4,2
DOW=Tue & RSI=neutral_high,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Tue & RSI=neutral_high,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Tue & RSI=neutral_high,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Wed & RSI=neutral_low,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Wed & RSI=neutral_low,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,2
DOW=Wed & RSI=neutral_low,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Wed & RSI=neutral_low,NEXT_TotalSize=total_rip,0.05,0.75,3.75,3,4,2
DOW=Wed & RSI=strong,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,2
DOW=Wed & RSI=strong,NEXT_GapDir=gap_DOWN,0.0667,0.6667,1.2903,4,6,2
DOW=Wed & RSI=strong,NEXT_TotalDir=total_UP,0.0833,0.8333,1.4706,5,6,2
DOW=Wed & RSI=strong,NEXT_MoveType=mixed,0.0667,0.6667,1.6,4,6,2
DOW=Fri & MACD_Hist=strong_bull,NEXT_GapDir=gap_DOWN,0.0667,1.0,1.9355,4,4,2
DOW=Mon & MACD_Hist=neutral,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,2
DOW=Mon & MACD_Hist=neutral,NEXT_GapDir=gap_DOWN,0.05,1.0,1.9355,3,3,2
DOW=Mon & MACD_Hist=neutral,NEXT_TotalDir=total_DOWN,0.05,1.0,2.4,3,3,2
DOW=Mon & MACD_Hist=strong_bull,NEXT_UpDown=NEXT_DOWN,0.05,1.0,2.2222,3,3,2
DOW=Mon & MACD_Hist=strong_bull,NEXT_GapDir=gap_UP,0.05,1.0,2.1429,3,3,2
DOW=Mon & MACD_Hist=strong_bull,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,2
DOW=Mon & MACD_Hist=strong_bull,NEXT_GapAction=gap_fade,0.05,1.0,5.0,3,3,2
DOW=Thu & MACD_Hist=bull,NEXT_UpDown=NEXT_UP,0.05,1.0,1.875,3,3,2
DOW=Thu & MACD_Hist=strong_bull,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Thu & MACD_Hist=strong_bull,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Thu & MACD_Hist=strong_bull,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Thu & MACD_Hist=strong_bull,NEXT_GapAction=gap_and_go,0.05,0.75,4.0909,3,4,2
DOW=Wed & MACD_Hist=bull,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Wed & MACD_Hist=bull,NEXT_GapDir=gap_DOWN,0.05,0.75,1.4516,3,4,2
DOW=Wed & MACD_Hist=bull,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Wed & MACD_Hist=bull,NEXT_MoveType=intraday_move,0.05,0.75,2.0455,3,4,2
DOW=Wed & MACD_Hist=strong_bull,NEXT_MoveType=mixed,0.05,1.0,2.4,3,3,2
DOW=Fri & MACD_Cross=above,NEXT_GapDir=gap_DOWN,0.1,0.8571,1.659,6,7,2
DOW=Fri & MACD_Cross=below,NEXT_UpDown=NEXT_UP,0.05,0.75,1.4062,3,4,2
DOW=Fri & MACD_Cross=below,NEXT_GapDir=gap_UP,0.05,0.75,1.6071,3,4,2
DOW=Fri & MACD_Cross=below,NEXT_TotalDir=total_UP,0.05,0.75,1.3235,3,4,2
DOW=Mon & MACD_Cross=above,NEXT_UpDown=NEXT_DOWN,0.1167,0.875,1.9444,7,8,2
DOW=Mon & MACD_Cross=above,NEXT_TotalDir=total_DOWN,0.0833,0.625,1.5,5,8,2
DOW=Thu & MACD_Cross=above,NEXT_UpDown=NEXT_UP,0.1,0.75,1.4062,6,8,2
DOW=Thu & MACD_Cross=above,NEXT_GapDir=gap_UP,0.1,0.75,1.6071,6,8,2
DOW=Thu & MACD_Cross=above,NEXT_TotalDir=total_UP,0.0833,0.625,1.1029,5,8,2
DOW=Thu & MACD_Cross=below,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Thu & MACD_Cross=below,NEXT_GapDir=gap_DOWN,0.05,0.6,1.1613,3,5,2
DOW=Thu & MACD_Cross=below,NEXT_TotalDir=total_DOWN,0.05,0.6,1.44,3,5,2
DOW=Thu & MACD_Cross=below,NEXT_MoveType=intraday_move,0.05,0.6,1.6364,3,5,2
DOW=Tue & MACD_Cross=above,NEXT_UpDown=NEXT_UP,0.0833,0.7143,1.3393,5,7,2
DOW=Tue & MACD_Cross=above,NEXT_GapDir=gap_UP,0.0833,0.7143,1.5306,5,7,2
DOW=Tue & MACD_Cross=below,NEXT_UpDown=NEXT_UP,0.05,0.6,1.125,3,5,2
DOW=Tue & MACD_Cross=below,NEXT_GapDir=gap_DOWN,0.05,0.6,1.1613,3,5,2
DOW=Tue & MACD_Cross=below,NEXT_TotalDir=total_UP,0.0667,0.8,1.4118,4,5,2
DOW=Wed & MACD_Cross=above,NEXT_GapDir=gap_DOWN,0.0833,0.7143,1.3825,5,7,2
DOW=Wed & MACD_Cross=above,NEXT_TotalDir=total_UP,0.0833,0.7143,1.2605,5,7,2
DOW=Wed & MACD_Cross=below,NEXT_UpDown=NEXT_UP,0.0667,0.6667,1.25,4,6,2
DOW=Wed & MACD_Cross=below,NEXT_TotalDir=total_UP,0.0667,0.6667,1.1765,4,6,2
DOW=Fri & EMA_Trend=strong_bull,NEXT_UpDown=NEXT_DOWN,0.0833,0.7143,1.5873,5,7,2
DOW=Fri & EMA_Trend=strong_bull,NEXT_GapDir=gap_DOWN,0.0833,0.7143,1.3825,5,7,2
DOW=Fri & EMA_Trend=strong_bull,NEXT_MoveType=mixed,0.0833,0.7143,1.7143,5,7,2
DOW=Mon & EMA_Trend=strong_bull,NEXT_UpDown=NEXT_DOWN,0.0833,0.7143,1.5873,5,7,2
DOW=Mon & EMA_Trend=strong_bull,NEXT_MoveType=mixed,0.0833,0.7143,1.7143,5,7,2
DOW=Tue & EMA_Trend=strong_bull,NEXT_UpDown=NEXT_UP,0.0833,0.7143,1.3393,5,7,2
DOW=Wed & EMA_Trend=strong_bull,NEXT_UpDown=NEXT_UP,0.1,0.8571,1.6071,6,7,2
DOW=Wed & EMA_Trend=strong_bull,NEXT_GapDir=gap_DOWN,0.0833,0.7143,1.3825,5,7,2
DOW=Wed & EMA_Trend=strong_bull,NEXT_TotalDir=total_UP,0.1,0.8571,1.5126,6,7,2
DOW=Fri & BB_Position=upper_mid,NEXT_UpDown=NEXT_DOWN,0.05,0.6,1.3333,3,5,2
DOW=Fri & BB_Position=upper_mid,NEXT_GapDir=gap_UP,0.05,0.6,1.2857,3,5,2
DOW=Fri & BB_Position=upper_mid,NEXT_MoveType=mixed,0.0667,0.8,1.92,4,5,2
